Unnamed: 0,"Table 1.7 Occupational projections, 2022–32, and worker characteristics, 2022 (Numbers in thousands)",Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Original Occupation,Best Match,Degree of Match,Score,index,OCC_CODE,OCC_TITLE
,"      Software and web developers, programmers, and testers",False,,,,,,15-1250,Summary,2159.4,2628.6,469.2,21.7,2.7,179.5,127120,—,—,—,"      Software and web developers, programmers, and testers","Software and Web Developers, Programmers, and Testers",Similar Match,87.5,108,15-1250,"Software and Web Developers, Programmers, and Testers"
,        Computer programmers,False,,,,,,15-1251,Line item,147.4,130.8,-16.6,-11.2,7.1,6.7,99700,Bachelor's degree,,,        Computer programmers,Computer Programmers,Similar Match,90.25,109,15-1251,Computer Programmers
,        Software developers,False,,,,,,15-1252,Line item,1594.5,2004.9,410.4,25.7,1.6,136.3,132270,Bachelor's degree,,,        Software developers,Software Developers,Similar Match,89.99999999999999,110,15-1252,Software Developers
,        Software quality assurance analysts and testers,False,,,,,,15-1253,Line item,200.8,241.6,40.8,20.3,—,17.5,101800,Bachelor's degree,,,        Software quality assurance analysts and testers,Software Quality Assurance Analysts and Testers,Similar Match,86.91489361702128,111,15-1253,Software Quality Assurance Analysts and Testers
,        Web developers,False,,,,,,15-1254,Line item,98.8,115.5,16.7,17,6.6,8.3,84960,Bachelor's degree,,,        Web developers,"Software and Web Developers, Programmers, and Testers",Similar Match,85.5,108,15-1250,"Software and Web Developers, Programmers, and Testers"
,        Web and digital interface designers,False,,,,,,15-1255,Line item,117.9,135.8,17.9,15.2,13.1,10.7,98540,Bachelor's degree,,,        Web and digital interface designers,Web and Digital Interface Designers,Similar Match,86.85714285714286,113,15-1255,Web and Digital Interface Designers
,"      Computer occupations, all other",False,,,,,,15-1299,Line item,449.4,493.1,43.8,9.7,3.2,33.5,104920,Bachelor's degree,,,"      Computer occupations, all other","Computer Occupations, All Other",Similar Match,85.80645161290323,115,15-1299,"Computer Occupations, All Other"
,    Mathematical science occupations,False,,,,,,15-2000,Summary,348.5,450.4,101.9,29.2,0.7,33.5,101460,—,—,—,    Mathematical science occupations,Mathematical Science Occupations,Similar Match,89.0625,116,15-2000,Mathematical Science Occupations
,      Actuaries,False,,,,,,15-2011,Line item,30,36.9,7,23.2,—,2.3,120000,Bachelor's degree,,Long-term on-the-job training,      Actuaries,Actuaries,Similar Match,90.0,117,15-2011,Actuaries
,      Mathematicians,False,,,,,,15-2021,Line item,2.3,2.3,0.1,2.2,—,0.1,116440,Master's degree,,,      Mathematicians,Mathematicians,Similar Match,95.0,118,15-2021,Mathematicians
,      Operations research analysts,False,,,,,,15-2031,Line item,109.9,134.7,24.7,22.5,0.3,9.8,83640,Bachelor's degree,,,      Operations research analysts,Operations Research Analysts,Similar Match,88.21428571428571,119,15-2031,Operations Research Analysts
,      Statisticians,False,,,,,,15-2041,Line item,33.3,43.9,10.5,31.6,0.8,3.3,104110,Master's degree,,,      Statisticians,Statisticians,Similar Match,95.0,120,15-2041,Statisticians
,      Data scientists,False,,,,,,15-2051,Line item,168.9,228.2,59.4,35.2,1.1,17.7,108020,Bachelor's degree,,,      Data scientists,Data Scientists,Similar Match,88.66666666666666,121,15-2051,Data Scientists
,"      Mathematical science occupations, all other",False,,,,,,15-2099,Line item,4.1,4.4,0.3,6.2,—,0.3,70620,Bachelor's degree,,,"      Mathematical science occupations, all other","Mathematical Science Occupations, All Other",Similar Match,86.16279069767441,123,15-2099,"Mathematical Science Occupations, All Other"
,  Architecture and engineering occupations,False,,,,,,17-0000,Summary,2611.8,2746.8,134.9,5.2,2.8,188,91420,—,—,—,  Architecture and engineering occupations,Architecture and Engineering Occupations,Similar Match,92.6829268292683,124,17-0000,Architecture and Engineering Occupations
,"    Architects, surveyors, and cartographers",False,,,,,,17-1000,Summary,212.2,221.3,9.2,4.3,11.1,14.5,80850,—,—,—,"    Architects, surveyors, and cartographers","Architects, Surveyors, and Cartographers",Similar Match,90.47619047619048,125,17-1000,"Architects, Surveyors, and Cartographers"
,"      Architects, except naval",False,,,,,,17-1010,Summary,147.3,153.5,6.2,4.2,14.2,10,85800,—,—,—,"      Architects, except naval","Architects, Except Naval",Similar Match,87.08333333333333,126,17-1010,"Architects, Except Naval"
,"        Architects, except landscape and naval",False,,,,,,17-1011,Line item,123.7,129.7,6,4.8,12.6,8.2,93310,Bachelor's degree,,Internship/residency,"        Architects, except landscape and naval","Architects, Except Landscape and Naval",Similar Match,87.5,127,17-1011,"Architects, Except Landscape and Naval"
,        Landscape architects,False,,,,,,17-1012,Line item,23.6,23.8,0.2,0.7,23,1.8,79320,Bachelor's degree,,Internship/residency,        Landscape architects,Landscape Architects,Similar Match,90.25,128,17-1012,Landscape Architects
,"      Surveyors, cartographers, and photogrammetrists",False,,,,,,17-1020,Summary,64.8,67.8,3,4.7,4.1,4.4,70810,—,—,—,"      Surveyors, cartographers, and photogrammetrists","Surveyors, Cartographers, and Photogrammetrists",Similar Match,90.95744680851064,129,17-1020,"Surveyors, Cartographers, and Photogrammetrists"
,        Cartographers and photogrammetrists,False,,,,,,17-1021,Line item,14,14.7,0.7,5,2.8,1,76210,Bachelor's degree,,,        Cartographers and photogrammetrists,Cartographers and Photogrammetrists,Similar Match,92.28571428571428,130,17-1021,Cartographers and Photogrammetrists
,        Surveyors,False,,,,,,17-1022,Line item,50.8,53.1,2.3,4.6,4.5,3.5,68540,Bachelor's degree,,Internship/residency,        Surveyors,Surveyors,Similar Match,90.0,131,17-1022,Surveyors
,    Engineers,False,,,,,,17-2000,Summary,1736.1,1856.6,120.5,6.9,2,111.4,102660,—,—,—,    Engineers,Engineers,Similar Match,95.0,132,17-2000,Engineers
,      Aerospace engineers,False,,,,,,17-2011,Line item,63.8,67.7,3.9,6.1,—,3.8,130720,Bachelor's degree,,,      Aerospace engineers,Aerospace Engineers,Similar Match,90.0,133,17-2011,Aerospace Engineers
,      Agricultural engineers,False,,,,,,17-2021,Line item,1.6,1.7,0.1,6.3,—,0.1,88750,Bachelor's degree,,,      Agricultural engineers,Agricultural Engineers,Similar Match,90.68181818181817,134,17-2021,Agricultural Engineers
,      Bioengineers and biomedical engineers,False,,,,,,17-2031,Line item,19.7,20.7,1,5.1,—,1.2,100730,Bachelor's degree,,,      Bioengineers and biomedical engineers,Bioengineers and Biomedical Engineers,Similar Match,89.86486486486486,135,17-2031,Bioengineers and Biomedical Engineers
,      Chemical engineers,False,,,,,,17-2041,Line item,20.8,22.5,1.7,8.1,—,1.3,112100,Bachelor's degree,,,      Chemical engineers,Chemical Engineers,Similar Match,89.72222222222221,136,17-2041,Chemical Engineers
,      Civil engineers,False,,,,,,17-2051,Line item,326.3,342.5,16.2,5,3.5,21.2,95890,Bachelor's degree,,,      Civil engineers,Civil Engineers,Similar Match,88.66666666666666,137,17-2051,Civil Engineers
,      Computer hardware engineers,False,,,,,,17-2061,Line item,78.1,81.6,3.6,4.6,1.9,4.6,138080,Bachelor's degree,,,      Computer hardware engineers,Computer Hardware Engineers,Similar Match,87.96296296296296,138,17-2061,Computer Hardware Engineers
,      Electrical and electronics engineers,False,,,,,,17-2070,Summary,299.7,315.5,15.8,5.3,1.7,17.8,109010,—,—,—,      Electrical and electronics engineers,Electrical and Electronics Engineers,Similar Match,89.72222222222221,139,17-2070,Electrical and Electronics Engineers
,        Electrical engineers,False,,,,,,17-2071,Line item,188.8,196.6,7.9,4.2,1.7,11,106950,Bachelor's degree,,,        Electrical engineers,Electrical Engineers,Similar Match,90.25,140,17-2071,Electrical Engineers
,"        Electronics engineers, except computer",False,,,,,,17-2072,Line item,110.9,118.9,7.9,7.2,1.6,6.9,119200,Bachelor's degree,,,"        Electronics engineers, except computer","Electronics Engineers, Except Computer",Similar Match,87.5,141,17-2072,"Electronics Engineers, Except Computer"
,      Environmental engineers,False,,,,,,17-2081,Line item,47.3,50.2,2.9,6.1,1.4,3.4,100090,Bachelor's degree,,,      Environmental engineers,Environmental Engineers,Similar Match,90.86956521739131,142,17-2081,Environmental Engineers
,"      Industrial engineers, including health and safety",False,,,,,,17-2110,Summary,349.3,388.5,39.2,11.2,0,24.1,99500,—,—,—,"      Industrial engineers, including health and safety","Industrial Engineers, Including Health and Safety",Similar Match,87.24489795918366,143,17-2110,"Industrial Engineers, Including Health and Safety"
,"        Health and safety engineers, except mining safety engineers and inspectors",False,,,,,,17-2111,Line item,22,22.8,0.8,3.7,—,1.3,103690,Bachelor's degree,,,"        Health and safety engineers, except mining safety engineers and inspectors","Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",Similar Match,85.95238095238095,144,17-2111,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors"
,        Industrial engineers,False,,,,,,17-2112,Line item,327.3,365.7,38.4,11.7,0,22.8,99380,Bachelor's degree,,,        Industrial engineers,Industrial Engineers,Similar Match,90.25,145,17-2112,Industrial Engineers
,      Marine engineers and naval architects,False,,,,,,17-2121,Line item,8,8.1,0.1,0.7,4.5,0.4,100270,Bachelor's degree,,,      Marine engineers and naval architects,Marine Engineers and Naval Architects,Similar Match,87.29729729729729,146,17-2121,Marine Engineers and Naval Architects
,      Materials engineers,False,,,,,,17-2131,Line item,22.3,23.5,1.1,5.1,1.2,1.5,104100,Bachelor's degree,,,      Materials engineers,Materials Engineers,Similar Match,89.99999999999999,147,17-2131,Materials Engineers
,      Mechanical engineers,False,,,,,,17-2141,Line item,286.1,314.7,28.5,10,1,19.2,99510,Bachelor's degree,,,      Mechanical engineers,Mechanical Engineers,Similar Match,90.25,148,17-2141,Mechanical Engineers
,"      Mining and geological engineers, including mining safety engineers",False,,,,,,17-2151,Line item,7.5,7.6,0,0.3,—,0.4,100640,Bachelor's degree,,,"      Mining and geological engineers, including mining safety engineers","Mining and Geological Engineers, Including Mining Safety Engineers",Similar Match,86.95652173913044,149,17-2151,"Mining and Geological Engineers, Including Mining Safety Engineers"
,      Nuclear engineers,False,,,,,,17-2161,Line item,13.8,13.9,0.1,1.1,7.4,0.8,125460,Bachelor's degree,,,      Nuclear engineers,Nuclear Engineers,Similar Match,89.41176470588236,150,17-2161,Nuclear Engineers
,      Petroleum engineers,False,,,,,,17-2171,Line item,21.4,21.9,0.5,2.5,—,1.2,135690,Bachelor's degree,,,      Petroleum engineers,Petroleum Engineers,Similar Match,89.99999999999999,151,17-2171,Petroleum Engineers
,"      Engineers, all other",False,,,,,,17-2199,Line item,170.3,176,5.7,3.3,7,10.4,111970,Bachelor's degree,,,"      Engineers, all other",Engineers,Similar Match,90.0,132,17-2000,Engineers
,"    Drafters, engineering technicians, and mapping technicians",False,,,,,,17-3000,Summary,663.6,668.8,5.2,0.8,2.2,62.1,63100,—,—,—,"    Drafters, engineering technicians, and mapping technicians","Drafters, Engineering Technicians, and Mapping Technicians",Similar Match,90.0,154,17-3000,"Drafters, Engineering Technicians, and Mapping Technicians"
,      Drafters,False,,,,,,17-3010,Summary,197.3,193,-4.3,-2.2,1.5,16.6,62530,—,—,—,      Drafters,Mechanical Drafters,Similar Match,95.0,158,17-3013,Mechanical Drafters
,        Medical assistants,True,Skilled Trade,Trade,Somewhat Certain,IN,they draw blood but also do admin work? This one is really on the line...,31-9092,Line item,764.4,870.2,105.9,13.9,0.1,114.6,42000,Postsecondary nondegree award,,,        Medical assistants,Medical Assistants,Similar Match,89.72222222222221,526,31-9092,Medical Assistants
,"        Hairdressers, hairstylists, and cosmetologists",True,Skilled Trade,Trade,Somewhat Certain,IN,Might need significant amount of training on the upper end,39-5012,Line item,555.8,598.6,42.8,7.7,46,82,34970,Postsecondary nondegree award,,,"        Hairdressers, hairstylists, and cosmetologists","Hairdressers, Hairstylists, and Cosmetologists",Similar Match,90.86956521739131,639,39-5012,"Hairdressers, Hairstylists, and Cosmetologists"
,      Carpenters,True,Skilled Trade,Trade,Very Certain,IN,,47-2031,Line item,956.3,964.9,8.6,0.9,26.7,79.5,56350,High school diploma or equivalent,,Apprenticeship,      Carpenters,Carpenters,Similar Match,90.0,787,47-2031,Carpenters
,      Electricians,True,Skilled Trade,Trade,Very Certain,IN,,47-2111,Line item,762.6,811.8,49.2,6.4,7.9,73.5,61590,High school diploma or equivalent,,Apprenticeship,      Electricians,Electricians,Similar Match,90.0,804,47-2111,Electricians
,"      Engineering technologists and technicians, except drafters",False,,,,,,17-3020,Summary,402.1,409.5,7.3,1.8,1.4,37.8,64840,—,—,—,"      Engineering technologists and technicians, except drafters","Engineering Technologists and Technicians, Except Drafters",Similar Match,88.52459016393442,160,17-3020,"Engineering Technologists and Technicians, Except Drafters"
,      First-line supervisors of construction trades and extraction workers,True,Other/TBD,Not Trade,Somewhat Certain,IN,,47-1011,Line item,809.9,830.3,20.4,2.5,10,66.6,76760,High school diploma or equivalent,5 years or more,,      First-line supervisors of construction trades and extraction workers,First-Line Supervisors of Construction Trades and Extraction Workers,Similar Match,87.32394366197182,781,47-1011,First-Line Supervisors of Construction Trades and Extraction Workers
,      First-line supervisors of production and operating workers,True,Other/TBD,Not Trade,Somewhat Certain,IN,,51-1011,Line item,681.7,683.7,1.9,0.3,1.5,63.3,65930,High school diploma or equivalent,Less than 5 years,,      First-line supervisors of production and operating workers,First-Line Supervisors of Production and Operating Workers,Similar Match,86.88524590163934,926,51-1011,First-Line Supervisors of Production and Operating Workers
