,"Table 1.7 Occupational projections, 2022–32, and worker characteristics, 2022 (Numbers in thousands)",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18
1072,        Nuclear power reactor operators,True,Skilled Trade,Trade,Very Certain,IN,,51-8011,Line item,5.5,5.3,-0.2,-3.3,—,0.4,120350,High school diploma or equivalent,,Long-term on-the-job training
1073,"      Explosives workers, ordnance handling experts, and blasters",True,Skilled Trade,Trade,Very Certain,IN,,47-5032,Line item,4.9,4.9,0.1,1.1,—,0.4,61590,High school diploma or equivalent,Less than 5 years,Long-term on-the-job training
1074,        Pile driver operators,False,Skilled Trade,Trade,Somewhat Certain,IN,,47-2072,Line item,3.3,3.4,0.1,3.2,2.6,0.3,63550,High school diploma or equivalent,,Moderate-term on-the-job training
1075,        Hydrologic technicians,True,Skilled Trade,Trade,Very Certain,IN,,19-4044,Line item,3.1,3.1,0,0.4,—,0.3,55890,Associate's degree,,Moderate-term on-the-job training
1076,"        Underground mining machine operators, all other",False,Skilled Trade,Trade,Somewhat Certain,IN,,47-5049,Line item,2.3,2,-0.3,-12.5,—,0.2,68910,No formal educational credential,,Moderate-term on-the-job training
1077,"        Model makers, metal and plastic",False,Skilled Trade,Trade,Somewhat Certain,IN,,51-4061,Line item,3.4,2.8,-0.6,-18.8,—,0.2,64190,High school diploma or equivalent,,Moderate-term on-the-job training
1079,"        Rail yard engineers, dinkey operators, and hostlers",False,Non skilled worker,Not Trade,Somewhat Certain,IN,,53-4013,Line item,2.6,2.6,0.1,2.4,—,0.2,57070,High school diploma or equivalent,,Moderate-term on-the-job training
1081,        Camera and photographic equipment repairers,True,Skilled Trade,Trade,Very Certain,IN,,49-9061,Line item,2.4,2.4,0,1.1,8.1,0.2,46850,High school diploma or equivalent,,Long-term on-the-job training
1082,"      Rail transportation workers, all other",False,Other/TBD,Not Trade,High Uncertain,IN,,53-4099,Line item,2.4,2.4,0.1,2.2,—,0.2,44660,High school diploma or equivalent,,Moderate-term on-the-job training
1083,"        Roof bolters, mining",False,Skilled Trade,Trade,High Uncertain,IN,training time varies from none to 1 year,47-5043,Line item,1.8,1.3,-0.5,-28.5,—,0.1,66660,High school diploma or equivalent,,Moderate-term on-the-job training
1090,        Watch and clock repairers,True,Skilled Trade,Trade,Very Certain,IN,,49-9064,Line item,2.1,1.4,-0.6,-29.8,10.2,0.1,58140,High school diploma or equivalent,,Long-term on-the-job training
1091,      Dredge operators,False,Non skilled worker,Not Trade,Somewhat Certain,IN,Doesn't seem to meet the training time requirement,53-7031,Line item,1,1.1,0,0.3,9.9,0.1,50440,High school diploma or equivalent,,Moderate-term on-the-job training
1096,"        Patternmakers, metal and plastic",False,Skilled Trade,Trade,Somewhat Certain,IN,,51-4062,Line item,2.3,1.8,-0.5,-21.6,—,0.1,49670,High school diploma or equivalent,,Moderate-term on-the-job training
1097,        Terrazzo workers and finishers,True,Skilled Trade,Trade,Very Certain,IN,,47-2053,Line item,1.6,1.4,-0.2,-12.2,4.1,0.1,48900,High school diploma or equivalent,,Apprenticeship
1107,"        Patternmakers, wood",False,Skilled Trade,Trade,Very Certain,IN,,51-7032,Line item,0.5,0.5,0,-5.1,31.3,0.1,48630,High school diploma or equivalent,,Moderate-term on-the-job training
1108,"        Model makers, wood",False,Skilled Trade,Trade,Very Certain,IN,,51-7031,Line item,1.1,1,0,-3.6,31.5,0.1,45040,High school diploma or equivalent,,Moderate-term on-the-job training
1109,"        Refractory materials repairers, except brickmasons",True,Skilled Trade,Trade,Very Certain,IN,,49-9045,Line item,0.6,0.5,-0.1,-21.4,—,0,48410,High school diploma or equivalent,,Moderate-term on-the-job training
